PROVINCE_NAME,CITY_NAME,DLR_CODE,DLR_SHORT_NAME,DLR_FULL_NAME
上海,上海,T0201,上海东昌（EV）,上海东昌汽车宝山销售服务有限公司
江苏,盐城,V2018,启辰盐城太平洋博通,江苏太平洋汽车集团盐城博通汽车有限公司
江苏,常州,V2021,启辰常州中天日辰,常州中天日辰汽车销售服务有限公司
上海,上海,V0203,启辰上海松江,上海亚盛汽车销售服务有限公司
江苏,无锡,V2016,启辰无锡威盛,无锡威盛汽车销售服务有限公司
江苏,无锡,V2015,启辰江阴海辰,江阴市全顺海辰汽车销售服务有限公司
其它,其它,T9990,O一二单位驻沪办事处(启辰),公安部警用装备采购中心
上海,上海,T0203,启辰上海东浦,上海东仪汽车贸易有限公司
浙江,宁波,V2313,启辰象山众博,宁波众博汽车有限公司
江苏,昆山,W2037,昆山华星专营店常熟直营店,昆山华星专营店常熟直营店
江苏,苏州,V2030,启辰昆山华星,昆山华星汽车销售服务有限公司
浙江,杭州,V2301,启辰杭州东风南方宁新,浙江东风南方宁新汽车销售服务有限公司
江苏,苏州,V2012,启辰苏州诚隆,苏州诚利汽车销售服务有限公司
浙江,宁波,V2323,启辰宁波东幸海曙,宁波东幸汽车销售服务有限公司
江苏,无锡,V2032,启辰无锡南华,无锡市翰阳汽车销售服务有限公司
浙江,嘉兴,V2326,启辰嘉兴裕大南湖,嘉兴裕大汽车销售服务有限公司
上海,上海,V0209,启辰上海东风南方威顺,东风南方集团上海汽车销售服务有限公司
上海,上海,V0205,启辰上海东浦五洲大道,上海东仪汽车贸易有限公司
江苏,南通,V2033,启辰南通太平洋兴伟,南通兴伟汽车销售服务有限公司
上海,上海,V0008,DNAF,东风日产汽车金融有限公司
江苏,苏州,W2035,启辰华星专营店太仓分店,启辰华星专营店太仓分店
上海,上海,T0207,上海绅协（EV）,上海绅协汽车贸易有限公司
上海,上海,T0206,上海隆利（EV）,上海隆利汽车销售服务有限公司
上海,上海,V0208,启辰上海万帮（EV）,上海万帮之星汽车销售服务有限公司
上海,上海,T0202,上海众泰（EV）,上海众泰汽车销售有限公司
江苏,苏州,V2027,启辰苏州怡悦,吴江怡悦汽车销售服务有限公司
浙江,嘉兴,V2311,启辰嘉兴百和,嘉兴百大通汽车有限公司
浙江,湖州,V2321,启辰湖州东风南方湖骏,湖州东风南方金恒德汽车销售服务有限公司吴兴分公司
浙江,绍兴,V2312,启辰绍兴柯城,绍兴柯城汽车销售服务有限公司
上海,上海,T0205,上海绅协绅通（EV）,上海绅协绅通汽车销售服务有限公司
上海,上海,V0206,启辰上海众骁（EV）,上海众骁汽车销售服务有限公司
上海,上海,V0202,启辰上海炜业隆达,上海炜业隆达汽车销售服务有限公司
浙江,宁波,V2315,启辰慈溪轩豪,慈溪隆轩行汽车贸易有限公司
江苏,南通,V2022,启辰南通太平洋国际,南通太平洋国际汽车俱乐部有限公司
浙江,宁波,V2322,启辰宁波明晨海曙,宁波明晨汽车销售服务有限公司
浙江,台州,V2318,启辰台州铠辰,台州铠辰汽车有限公司
福建,厦门,V2817,启辰厦门塞尔福和顺,塞尔福（厦门）贸易有限公司集安分公司
浙江,台州,V2319,启辰台州恒联,台州恒联汽车服务有限公司
浙江,台州,W2313,启辰台州铠辰专营店临海分店,启辰台州铠辰专营店临海分店
浙江,温州,V2317,启辰温州龙辰,温州龙辰汽车销售有限公司
福建,龙岩,V2813,启辰龙岩汇京闽龙,龙岩汇京闽龙汽车销售服务有限公司
福建,宁德,V2816,启辰宁德和誉东侨,宁德和誉车业有限公司
福建,泉州,V2812,启辰泉州汇京福新,福建汇京福新投资发展有限公司
福建,厦门,V2811,启辰厦门塞尔福滨海,安捷尔（厦门）商贸有限公司
福建,漳州,V2815,启辰漳州聚力星辰,漳州市聚力星辰贸易有限公司
福建,福州,V2801,启辰福州汇京新辰青口,福州市汇京新辰汽车销售服务有限公司
福建,龙岩,Q2811,汇京鸿兴长汀直营店V,汇京鸿兴长汀直营店V
福建,泉州,Q2812,汇京中林泉港直营店V,汇京中林泉港直营店V
福建,泉州,Q2813,汇京三力德化直营店V,汇京三力德化直营店V
福建,泉州,Q2815,汇京集团水头直营店V,汇京集团水头直营店V
福建,泉州,Q2816,汇京永达武夷山直营店V,汇京永达武夷山直营店V
福建,宁德,Q2817,南方古田直营店V,南方古田直营店V
福建,漳州,Q2818,聚力汽车平和直营店V,聚力汽车平和直营店V
福建,漳州,Q2819,塞尔福南山直营店V（变更）,塞尔福南山直营店V（变更）
福建,漳州,Q2820,塞尔福滨北直营店V（变更）,塞尔福滨北直营店V（变更）
福建,厦门,Q2822,塞尔福南山直营店V,塞尔福南山直营店V
福建,厦门,Q2823,塞尔福滨北直营店V,塞尔福滨北直营店V
福建,泉州,Q2821,汇京华恒延平直营店V,汇京华恒延平直营店V
福建,厦门,Q2825,塞尔福集美直营店V,塞尔福集美直营店V
福建,漳州,Q2826,聚力汽车长泰直营店V,聚力汽车长泰直营店V
浙江,台州,Q2316,铠利三门直营店V,铠利三门直营店V
福建,厦门,Q2828,塞尔福翔安直营店V,塞尔福翔安直营店V
福建,泉州,Q2827,华宝仙游直营店V,华宝仙游直营店V
福建,泉州,W2811,启辰泉州汇京福新专营店晋江分店,启辰泉州汇京福新专营店晋江分店
浙江,金华,V2320,启辰金华金辰,金华金辉汽车销售服务有限公司
福建,泉州,V2819,启辰泉州汇京晋江,泉州市汇京泉玖汽车销售服务有限公司
浙江,台州,V2318A,启辰台州凯辰专营店元通仙居特约服务站,启辰台州凯辰专营店元通仙居特约服务站
浙江,台州,W2322,启辰台州恒联专营店路桥直营店,启辰台州恒联专营店路桥直营店
浙江,台州,W2311,启辰台州铠辰专营店黄岩分店,启辰台州铠辰专营店黄岩分店
福建,莆田,V2818,启辰莆田佰胜通涵江,莆田佰胜通汽车销售有限公司
